flightnumber,destination,latitude,longitude,price,date
TVF17HP ,France,38.1917,-7.5848,235.64,2025-05-15
TVF8964 ,France,39.2225,11.2047,214.92,2025-05-15
UAL948  ,United States,55.6287,-11.1002,229.63,2025-05-15
TVF30ZU ,France,46.7865,0.5739,217.18,2025-05-15
AXB1624 ,India,28.3438,76.9621,197.91,2025-05-15
N28CD   ,United States,27.804,-80.7775,58.58,2025-05-15
AXB712  ,India,16.8407,71.3599,223.7,2025-05-15
AIC2353 ,India,18.4511,82.7685,237.8,2025-05-15
AAL2643 ,United States,40.6486,-73.7648,89.47,2025-05-15
AIC2624 ,India,27.3723,80.0864,222.37,2025-05-15
CTV883  ,Indonesia,0.795,101.7908,232.92,2025-05-15
AIC2740 ,India,16.6649,75.1319,237.16,2025-05-15
AIC2983 ,India,18.9176,73.3915,188.55,2025-05-15
IGO6713 ,India,28.9429,77.1486,215.81,2025-05-15
IGO278V ,India,26.7178,81.1533,253.9,2025-05-15
IGO2285 ,India,28.5638,77.376,98.31,2025-05-15
GOA4938 ,India,15.8654,76.9404,127.77,2025-05-15
AXB1024 ,India,15.6714,73.5526,240.05,2025-05-15
AIC2504 ,India,18.5849,72.3257,210.77,2025-05-15
SAA040  ,South Africa,-25.4799,27.9815,206.33,2025-05-15
IGO68N  ,India,14.743,74.0037,240.49,2025-05-15
RS290   ,Canada,52.2523,-106.5624,75.36,2025-05-15
N63199  ,United States,34.6689,-81.3843,33.44,2025-05-15
IGO27TM ,India,13.3376,77.6591,243.05,2025-05-15
JAL674  ,Japan,34.3846,134.892,260.7,2025-05-15
AXB1014 ,India,28.2287,77.4106,191.82,2025-05-15
FDY243  ,United States,39.4882,-77.3981,78.09,2025-05-15
IGO53AE ,India,28.1114,76.2082,239.6,2025-05-15
AXB1103 ,India,27.9026,79.0865,202.81,2025-05-15
AIC2228 ,India,27.6367,79.7334,219.8,2025-05-15
AXB343  ,India,20.1281,69.6847,245.61,2025-05-15
JANET11 ,United States,36.3699,-115.5734,194.42,2025-05-15
IGO1N   ,India,13.7153,79.963,148.16,2025-05-15
EZY84YF ,United Kingdom,49.1936,-2.3657,77.85,2025-05-15
TVF37VF ,France,48.6672,2.1683,87.0,2025-05-15
SWA4671 ,United States,40.9065,-85.0326,180.07,2025-05-15
TVF87JQ ,France,41.3058,20.3027,249.97,2025-05-15
WIS900  ,United States,43.41,-88.4703,114.35,2025-05-15
SWA3479 ,United States,38.2121,-89.3567,223.36,2025-05-15
EZY15EA ,United Kingdom,36.0288,14.0629,190.93,2025-05-15
AKJ137W ,India,26.3769,74.7839,233.96,2025-05-15
UPS9824 ,United States,42.0908,-88.3078,133.77,2025-05-15
TVF45NV ,France,45.013,3.1497,230.68,2025-05-15
AKJ114J ,India,22.8842,88.3198,104.59,2025-05-15
TVF32DD ,France,46.7574,13.251,248.61,2025-05-15
TVF43PT ,France,44.447,10.3441,228.26,2025-05-15
EJU13BL ,Austria,43.6907,-6.1134,232.24,2025-05-15
FDX5434 ,United States,38.2035,-96.7905,226.95,2025-05-15
FCVRB   ,France,43.8222,3.7941,30.26,2025-05-15
MBU1ST  ,Estonia,50.6756,3.0461,211.36,2025-05-15
GIA121  ,Indonesia,1.6151,101.3168,231.4,2025-05-15
UAL2137 ,United States,37.52,-77.3955,108.02,2025-05-15
NSZ2CP  ,Sweden,38.7419,-3.5998,200.62,2025-05-15
NSZ2047 ,Sweden,49.0312,2.7121,108.79,2025-05-15
NSZ7WJ  ,Sweden,39.8416,-7.8184,227.35,2025-05-15
MBU5DF  ,Estonia,51.3579,12.9371,137.09,2025-05-15
PGT6VM  ,Turkey,44.9955,11.3331,235.62,2025-05-15
PGT1YK  ,Turkey,51.2499,6.6781,66.06,2025-05-15
PGT58VX ,Turkey,47.8499,16.8718,122.2,2025-05-15
PGT21VP ,Turkey,50.453,4.4291,66.76,2025-05-15
PGT8ME  ,Turkey,51.2561,9.7305,222.07,2025-05-15
PGT49FB ,Turkey,47.0642,16.4478,200.24,2025-05-15
AXB2933 ,India,14.3431,78.0294,241.46,2025-05-15
AIC2628 ,India,28.5286,77.1522,64.51,2025-05-15
N959BW  ,United States,30.4498,-88.7133,62.22,2025-05-15
AXB1956 ,India,26.2388,86.5996,222.98,2025-05-15
DAL49   ,United States,55.554,-11.8048,253.84,2025-05-15
LPE2423 ,Chile,-29.2301,-51.1781,200.93,2025-05-15
IGO236W ,India,25.7026,78.7398,224.55,2025-05-15
GSGWA   ,United Kingdom,51.592,-3.8264,42.95,2025-05-15
ANE2384 ,Spain,38.4185,-2.2594,136.67,2025-05-15
LPE2451 ,Chile,-9.5768,-77.1439,225.65,2025-05-15
AIC2888 ,India,14.1897,78.1936,205.05,2025-05-15
JBU311  ,United States,43.0739,-75.9237,228.01,2025-05-15
DAL1192 ,United States,35.812,-78.9459,128.18,2025-05-15
WMT1HK  ,Hungary,38.8532,-0.8074,240.97,2025-05-15
NBT30T  ,Norway,49.8007,-5.5341,241.54,2025-05-15
AIC105  ,India,45.6192,-70.0924,235.56,2025-05-15
WMT2PY  ,Hungary,44.1609,10.4833,192.28,2025-05-15
WZZ12BK ,Hungary,59.1526,5.5077,160.21,2025-05-15
